# Version 1.00
#
power[dBm],re:Trc1_S11[U],im:Trc1_S11[U],Trc2_S12[dB],Trc3_S21[dB],Trc4_S11[dB],Trc5_b2d1/a1d1sam[dB],Trc6_S12[dB],Trc7_S22[dB],
-3.949193942354665E+001,6.655599955310984E-002,3.487410721066662E-004,-5.720365348648419E+001,-1.878655495409316E+001,-2.353613656016458E+001,-2.432764705886614E+000,-5.720365348648419E+001,-2.388549653338252E+001,
-3.947239863214460E+001,6.631856813650344E-002,4.361338974754570E-003,-5.323125610449506E+001,-7.059090753531812E+000,-2.354855516665349E+001,-2.173375327051159E+000,-5.323125610449506E+001,-3.060326780572654E+001,
-3.945285784074255E+001,6.297636247895899E-002,1.083948878794335E-003,-5.950622429824909E+001,-1.168357089787338E+001,-2.401516213836261E+001,-2.727759475459536E+000,-5.950622429824909E+001,-2.286943846886893E+001,
-3.943331704934050E+001,6.672042460206125E-002,-1.581439511435813E-003,-6.055329422529125E+001,-8.631354021657124E+000,-2.351238475705651E+001,-2.153503262447019E+000,-6.055329422529125E+001,-3.058382761476177E+001,
-3.941377625793844E+001,6.106191438227446E-002,-2.001886340746647E-003,-6.009408024780725E+001,-1.750234703877543E+001,-2.427992627939571E+001,-1.928375552839394E+000,-6.009408024780725E+001,-3.041192730293426E+001,
-3.939423546653639E+001,6.633748900820691E-002,-2.148796736910804E-003,-6.569550699267133E+001,-2.304084865005540E+001,-2.356026504726665E+001,-2.585750545454630E+000,-6.569550699267133E+001,-2.490345056966931E+001,
-3.937469467513434E+001,6.565379299180042E-002,4.962881689612900E-004,-5.715355496941996E+001,-9.495245344008829E+000,-2.365455541704214E+001,-2.540428219348823E+000,-5.715355496941996E+001,-2.533517968886485E+001,
-3.935515388373229E+001,6.606794738197026E-002,-5.269125283530205E-004,-5.903762287964874E+001,-1.199481749038114E+001,-2.359990748849500E+001,-2.344594981616822E+000,-5.903762287964874E+001,-2.543885158732388E+001,
-3.933561309233024E+001,6.380839929198350E-002,2.228311277715643E-003,-5.762780287734104E+001,-1.451543798301215E+001,-2.389714983291163E+001,-2.174538918343242E+000,-5.762780287734104E+001,-2.352884780511327E+001,
-3.931607230092819E+001,6.340389876641445E-002,2.621800137051466E-003,-6.431196675670228E+001,-7.666261090392053E+000,-2.395026112190436E+001,-1.970977979431309E+000,-6.431196675670228E+001,-2.421742228286901E+001,
-3.929653150952613E+001,6.373289221799024E-002,-1.066686648742080E-003,-6.205037530169888E+001,-1.737221963240307E+001,-2.391151107123564E+001,-2.522863935161834E+000,-6.205037530169888E+001,-2.177365787247879E+001,
-3.927699071812408E+001,6.371533840415697E-002,4.265811313965119E-003,-7.379257770272746E+001,-9.269115339247252E+000,-2.389569659275329E+001,-2.814467173871405E+000,-7.379257770272746E+001,-2.551032753544529E+001,
